DATE,PCA1,PCA2
20000513,-4036.498384976574,9.09224537966705
20000514,-4035.497693892932,12.782956479856471
20000515,-4034.4969138342767,13.63700758632439
20000516,-4033.497421879829,12.797425603843257
20000517,-4032.4978488768047,9.066459182914906
20000518,-4031.4989872998976,5.486175637974718
20000519,-4030.5000002633824,2.7610334990609635
20000520,-4029.4990041594538,3.4852834471458483
20000521,-4028.5000299460116,2.684366683901706
20000522,-4027.5000179873423,2.0088779285982756
20000523,-4026.498800321713,5.9738878321976
20000524,-4025.498803683642,6.321111881055494
20000525,-4024.498672197198,7.085869290783084
20000526,-4023.498421477536,7.321238487454302
20000527,-4022.4988078606293,6.342446355539142
20000528,-4021.4993338951735,4.7214297482892995
20000529,-4020.499396174293,3.2127770961143356
20000530,-4019.4998406907634,3.8021613381562416
20000531,-4018.4990384471857,5.006049054987775
20000601,-4017.49883600911,8.007084972412782
20000602,-4016.497660296138,11.051487561553445
20000603,-4015.4973785544353,12.695669047406572
20000604,-4014.4981880030427,10.603953462534417
20000605,-4013.4987875811366,8.899864954731148
20000606,-4012.499010665668,6.968523517246211
20000607,-4011.498921640554,5.9608818942479616
20000608,-4010.497745882827,11.119667972141217
20000609,-4009.4974828475188,13.20034113928956
20000610,-4008.497882673806,10.862189706115592
20000611,-4007.4982068537047,9.037835021411459
20000612,-4006.498099388915,10.645848843788754
20000613,-4005.496679148504,12.758620951339221
20000614,-4004.4978743014344,11.161525907223648
20000615,-4003.4982239320616,9.217620280750893
20000616,-4002.497810763418,9.123485044871533
20000617,-4001.497184475589,11.61021142908887
20000618,-4000.4960425691916,15.23290486691282
20000619,-3999.496001043588,16.87582811346642
20000620,-3998.4959622725837,17.446240322847824
20000621,-3997.4968391131133,14.303891044326004
20000622,-3996.497250405968,12.919613521533652
20000623,-3995.4980924738793,9.526176876980516
20000624,-3994.498852824794,6.063890389269703
20000625,-3993.4994652857768,3.868429431260742
20000626,-3992.4979972533692,7.276034827948401
20000627,-3991.497743218497,9.554472048710156
20000628,-3990.497830124523,8.341488004573108
20000629,-3989.4983207169353,7.350842474044523
20000630,-3988.4983720330565,9.086821342629847
20000701,-3987.498209071693,9.672512237077424
20000702,-3986.4977499518427,12.213875992065526
20000703,-3985.4973176559615,11.682689076817928
20000704,-3984.4977645341514,9.976659050014577
20000705,-3983.4979031642742,10.474734276557218
20000706,-3982.497401585091,11.494063867498795
20000707,-3981.498019065284,8.630587032160989
20000708,-3980.498488713145,5.610238216373623
20000709,-3979.5000710090208,3.6526411022005605
20000710,-3978.4994169277343,5.478019298840806
20000711,-3977.5008848915095,4.0034704317005785
20000712,-3976.4991960126117,5.517011856051078
20000713,-3975.499801222275,3.904102166132702
20000714,-3974.499724230691,3.5368906749987445
20000715,-3973.4995491787067,3.6150152486806224
20000716,-3972.499505742948,3.8766673862647845
20000717,-3971.498521679234,6.855382330669848
20000718,-3970.498163804081,8.073471245522201
20000719,-3969.4976944398895,8.687911265888795
20000720,-3968.497862483571,9.81252623290598
20000721,-3967.497507730892,10.528738104119089
20000722,-3966.4981104451763,9.95726092499237
20000723,-3965.498032747755,9.853560180907747
20000724,-3964.4988863648778,6.831710125865434
20000725,-3963.499103054939,7.561966847712991
20000726,-3962.4986368368573,8.177717089084553
20000727,-3961.4987799308965,9.360959569944905
20000728,-3960.4982622141342,8.681669663325609
20000729,-3959.498811931946,7.789350447696352
20000730,-3958.4980978885233,8.967630739083306
20000731,-3957.497261632874,11.841446553826914
20000801,-3956.497001770844,13.578975005332666
20000802,-3955.497187983119,12.129090116966434
20000803,-3954.497691110395,9.168864625588347
20000804,-3953.4981114213897,8.701328182842191
20000805,-3952.4988913057823,6.999881375703234
20000806,-3951.4985903141805,8.66919303936115
20000807,-3950.498617733998,7.911408059900934
20000808,-3949.4982530092,9.018873717057712
20000809,-3948.4974711757986,10.976244596892338
20000810,-3947.497361744967,11.423198788910108
20000811,-3946.497460184115,12.402463394410777
20000812,-3945.4972518942104,13.727662105135131
20000813,-3944.497504036939,13.235778922081765
20000814,-3943.497823093543,12.935659877879601
20000815,-3942.4974176584074,11.860573249354035
20000816,-3941.4970567249748,12.620139464732365
20000817,-3940.4972026704636,12.765528016185392
20000818,-3939.4972745041887,11.512957999098033
20000819,-3938.497911501041,12.19801972364126
20000820,-3937.497941883046,12.030604349005621
20000821,-3936.4978049281635,10.638012541029815
20000822,-3935.497471451219,10.928665317623599
20000823,-3934.4972780696935,12.040909957191477
20000824,-3933.4972036979816,12.184909276217102
20000825,-3932.497705469841,10.723864784447791
20000826,-3931.497840955397,11.352939702996121
20000827,-3930.4988601213445,7.23171186483581
20000828,-3929.4984805576332,6.675959588311141
20000829,-3928.498527901018,8.31323094770189
20000830,-3927.4988795467943,8.706608934502441
20000831,-3926.499114086808,5.869403841176902
20000901,-3925.498986771492,5.545253034973145
20000902,-3924.4992210394194,4.910847539855254
20000903,-3923.499323765089,4.630249372015606
20000904,-3922.499770201106,3.2715021718107247
20000905,-3921.4987921757747,3.9314979840793765
20000906,-3920.4996122353477,3.578612127682059
20000907,-3919.499511459162,2.5205019422656036
20000908,-3918.4989679000337,5.652946004997057
20000909,-3917.498390549421,7.885181449188346
20000910,-3916.498297895416,9.259457121033678
20000911,-3915.4981306630216,9.79300903823916
20000912,-3914.49877522554,8.704841407360615
20000913,-3913.499134630829,6.531313599494506
20000914,-3912.4989624850004,6.511505959189003
20000915,-3911.498618710446,6.978321142140569
20000916,-3910.499830153625,3.4990667107147946
20000917,-3909.499816463138,1.9856953011543161
20000918,-3908.499195252345,3.435683852967763
20000919,-3907.5000819473753,3.0774412162811142
20000920,-3906.4998840541375,2.2986839705448254
20000921,-3905.499590066076,1.8833315028505517
20000922,-3904.4987294659422,4.229395790949761
20000923,-3903.4989978627145,4.5212647432567445
20000924,-3902.4991927319134,3.893712479705112
20000925,-3901.4988286605694,4.14189147613425
20000926,-3900.499116783596,4.66675875449793
20000927,-3899.4992149973987,4.589789111304801
20000928,-3898.500166240816,2.9378015355107086
20000929,-3897.499765955732,4.431784301154881
20000930,-3896.499820712621,2.4671656013374794
20001001,-3895.500870161759,-0.047371622704074134
20001002,-3894.5006481559085,0.4934939052420644
20001003,-3893.500086609809,0.5692322319190759
20001004,-3892.5005619069616,0.6748280441739669
20001005,-3891.5004321710203,0.7546087725398669
20001006,-3890.5006148297834,-0.7289480111424242
20001007,-3889.5004644348155,-1.3280612873948372
20001008,-3888.5007727768843,-1.8690259934603675
20001009,-3887.500612992244,-1.713416811516852
20001010,-3886.501233419418,-2.8668970952603874
20001011,-3885.5011737368877,-2.036800774443147
20001012,-3884.5002330887437,0.4390457251368751
20001013,-3883.499973645674,0.6229480213514567
20001014,-3882.500250225714,0.13137577348717278
20001015,-3881.5009653635134,-1.002002696327167
20001016,-3880.500624735312,0.2156782608054768
20001017,-3879.500501093131,-0.5379233222380129
20001018,-3878.500726952874,-1.7213178367935549
20001019,-3877.500508388095,-1.8980029821223652
20001020,-3876.5004201847205,-1.48265883516417
20001021,-3875.4998149291823,-0.3840647966023605
20001022,-3874.4999067255794,0.9925485257744202
20001023,-3873.5002029498028,-0.07011529359432211
20001024,-3872.5003730859517,-0.7983186958947139
20001025,-3871.5009912893092,-1.183636528421029
20001026,-3870.500405200044,-1.089179146609816
20001027,-3869.5012973944467,-3.670134581886177
20001028,-3868.5009037627624,-2.3548170534116095
20001029,-3867.500670883206,-1.59232192302578
20001030,-3866.5015099746615,-2.946876520562284
20001031,-3865.501274195394,-2.4757702768346177
20001101,-3864.5012726237273,-2.618361395098041
20001102,-3863.5014201668964,-4.303141341456623
20001103,-3862.501408815944,-4.127472876615677
20001104,-3861.5015485088934,-4.785278761128836
20001105,-3860.501595640055,-5.077788591427293
20001106,-3859.501966521393,-5.694197199547975
20001107,-3858.5018106705065,-4.508425046545112
20001108,-3857.501438880774,-4.4625532002577675
20001109,-3856.5013620718946,-5.0543692520091685
20001110,-3855.500999431304,-5.0782012936722225
20001111,-3854.50084706879,-5.149334257581003
20001112,-3853.501864397176,-5.602471533105211
20001113,-3852.5015478167643,-4.6497962923847975
20001114,-3851.501810098285,-4.994364192704925
20001115,-3850.5018915793516,-5.481237460372544
20001116,-3849.501450990925,-5.5011016967228255
20001117,-3848.5019091313425,-6.709858566718488
20001118,-3847.5020564000315,-6.869857432597591
20001119,-3846.5019306742506,-6.995495212328745
20001120,-3845.501888625562,-6.896544215590525
20001121,-3844.502221004346,-6.64353944660799
20001122,-3843.501425267663,-5.2921153692950185
20001123,-3842.5014446648656,-5.766872796844268
20001124,-3841.5022614054924,-7.315087370642104
20001125,-3840.501683962895,-6.196007822714442
20001126,-3839.5017842182024,-6.217693754894633
20001127,-3838.501693704995,-5.786868926819622
20001128,-3837.501267238009,-4.707518434981088
20001129,-3836.5008710899783,-3.8891450221521056
20001130,-3835.501352074687,-4.75437347368101
20001201,-3834.5012538816372,-4.63911087324853
20001202,-3833.501895288424,-5.183034945925545
20001203,-3832.5020107747314,-6.2240614384348945
20001204,-3831.501553889575,-5.934542937299646
20001205,-3830.501287393883,-5.155280909562354
20001206,-3829.5014757750487,-5.854703635183194
20001207,-3828.501836936899,-5.98200472516513
20001208,-3827.501956679951,-5.335597649940766
20001209,-3826.5015123227204,-4.830395518574949
20001210,-3825.5016814641967,-5.440062585435024
20001211,-3824.5010258081693,-3.700032940901781
20001212,-3823.5012486121013,-4.311969265381727
20001213,-3822.501253081724,-4.410891740516597
20001214,-3821.501823251363,-6.771776555756828
20001215,-3820.501729715932,-8.138719312085613
20001216,-3819.5015418969615,-9.232497407124072
20001217,-3818.5019874844966,-9.100228123832323
20001218,-3817.5019525531825,-9.469886520097425
20001219,-3816.5020497575642,-9.081344423774667
20001220,-3815.5021885599617,-9.84305068878082
20001221,-3814.5025237541795,-10.459152848313131
20001222,-3813.501933031581,-10.024019396020972
20001223,-3812.501875618176,-9.146221377670303
20001224,-3811.502643231215,-10.906801699953634
20001225,-3810.5030263623885,-11.963416666885397
20001226,-3809.5026736700947,-10.932672867451078
20001227,-3808.502496359315,-10.773559914299543
20001228,-3807.5024917368883,-10.701244883562445
20001229,-3806.502255370435,-11.472058202090908
20001230,-3805.5025422516082,-11.169422619305866
20001231,-3804.5025160492387,-11.24226412007819
20010101,-3803.5020991260626,-10.458891490696955
20010102,-3802.5017775191427,-7.7807165866373875
20010103,-3801.5022419176094,-8.307716139415724
20010104,-3800.5023479454085,-9.060962707625158
20010105,-3799.502340135856,-8.48856674835741
20010106,-3798.5020273078735,-7.604544100972957
20010107,-3797.5015569185016,-7.343316967687279
20010108,-3796.5024764030513,-9.428353642008684
20010109,-3795.502382928824,-9.329186129981633
20010110,-3794.5021422441787,-10.33747559699042
20010111,-3793.502103332732,-9.64767118798257
20010112,-3792.502544857547,-9.946838361859527
20010113,-3791.5019407487125,-9.485389017066279
20010114,-3790.501030639527,-9.674650777303818
20010115,-3789.5021171054814,-10.333702726525527
20010116,-3788.5029676926497,-12.089912224891382
20010117,-3787.502894670377,-12.189263750128987
20010118,-3786.5023810645616,-12.51474710032144
20010119,-3785.5026192103305,-11.93084966935224
20010120,-3784.5024556817607,-11.37311214281852
20010121,-3783.502360949462,-11.60673082809884
20010122,-3782.502749460924,-10.88073574041995
20010123,-3781.5026426742497,-9.222266381444772
20010124,-3780.502359472821,-8.308001153440385
20010125,-3779.502411974441,-8.220449741708432
20010126,-3778.5027612362082,-9.32217541061652
20010127,-3777.5021325480593,-9.028658740916619
20010128,-3776.502108061637,-8.457295704190226
20010129,-3775.5023122721195,-10.306444378333216
20010130,-3774.5029085792867,-11.505218935544928
20010131,-3773.502461034819,-10.597146060696762
20010201,-3772.5023585208837,-11.267474236644382
20010202,-3771.5020721391465,-11.346424046085374
20010203,-3770.5026125064433,-11.419471222124738
20010204,-3769.502636815285,-9.722268651643859
20010205,-3768.5025530098665,-8.751147700735359
20010206,-3767.501760325471,-4.882964431762559
20010207,-3766.501579639058,-4.6453290239431
20010208,-3765.500790511205,-4.137986290642852
20010209,-3764.50134094281,-6.267315642017165
20010210,-3763.501280955643,-6.512931089270744
20010211,-3762.5014035949407,-5.742428455853698
20010212,-3761.500280898181,-3.386628201536936
20010213,-3760.500716581535,-5.809625235367275
20010214,-3759.501360403685,-5.636297947918608
20010215,-3758.5005132077677,-3.164238392736055
20010216,-3757.50099583269,-4.489062973645474
20010217,-3756.5013037884164,-7.621675332556796
20010218,-3755.5015267721046,-7.133809845190768
20010219,-3754.5012144570646,-7.188278907846062
20010220,-3753.501760201949,-7.530997121709429
20010221,-3752.5009953455956,-6.331482847828788
20010222,-3751.501804234873,-6.6746816224036145
20010223,-3750.5021777958664,-8.869632762232124
20010224,-3749.502168461966,-10.765194717404771
20010225,-3748.501970143552,-11.15517286202969
20010226,-3747.5020797792768,-11.043298787046004
20010227,-3746.5011621363683,-8.244180916663751
20010228,-3745.5019911611853,-10.413901743534357
20010301,-3744.502231646302,-10.783318152908391
20010302,-3743.5025722020564,-10.077425183775421
20010303,-3742.5021685158226,-10.41446381519323
20010304,-3741.5019236929365,-8.437756660525304
20010305,-3740.5017786017506,-7.524074432175457
20010306,-3739.501149506086,-4.477031610519344
20010307,-3738.501550985864,-5.93066390518276
20010308,-3737.502118416325,-6.137476667521462
20010309,-3736.5018118416174,-4.90017286450361
20010310,-3735.501833821707,-3.9075952679394894
20010311,-3734.50145142158,-2.6903531907320395
20010312,-3733.5014605678716,-3.009826249812368
20010313,-3732.501611873413,-4.559988759280666
20010314,-3731.5012459037225,-3.8393472912206277
20010315,-3730.501126306017,-3.441691807855493
20010316,-3729.501042540516,-2.5184064249323437
20010317,-3728.5015907368215,-5.8017464511104695
20010318,-3727.501417125888,-4.695076926841253
20010319,-3726.5017172080643,-5.515928048312544
20010320,-3725.5021539301033,-6.589630212569762
20010321,-3724.501632809068,-6.827508413409483
20010322,-3723.501373082374,-5.194174050156764
20010323,-3722.501110434516,-2.8378626868940873
20010324,-3721.5003614903617,-1.4291385636460787
20010325,-3720.50114514284,-4.3129310217661345
20010326,-3719.5012327267723,-5.310296854124701
20010327,-3718.5011856340643,-6.259635510406607
20010328,-3717.5012524683716,-4.670274197384714
20010329,-3716.5013294668406,-4.79300777059858
20010330,-3715.50131966992,-4.815680005645827
20010331,-3714.500394073664,-0.6631285190163472
20010401,-3713.499394261722,2.110757721002179
20010402,-3712.498228724855,5.049424718512506
20010403,-3711.4993397997514,2.1602934021839633
20010404,-3710.500284819138,0.0946349757608318
20010405,-3709.500834260103,-2.112812312342274
20010406,-3708.5005973664247,-0.5860960519718641
20010407,-3707.500755307672,-1.7676287599515343
20010408,-3706.500878613202,-2.68549812048253
20010409,-3705.5008141709186,-2.1702638041118427
20010410,-3704.50071569353,-1.9127901383070625
20010411,-3703.500970899282,-3.596596980593238
20010412,-3702.5003417047374,-1.8388021357951092
20010413,-3701.5002812074526,-1.851768151381513
20010414,-3700.5008950777174,-4.916565964282885
20010415,-3699.5010742335307,-4.163908048209809
20010416,-3698.501505094562,-4.442457921628812
20010417,-3697.5010277643796,-4.258812006539797
20010418,-3696.5010639831526,-3.3706292828680735
20010419,-3695.5008362279314,-3.118555860980678
20010420,-3694.5013260442465,-4.82573389211672
20010421,-3693.5010422133782,-3.363335619059701
20010422,-3692.500682887481,-2.1626870006151715
20010423,-3691.500440310816,-0.43204864051085146
20010424,-3690.5002363212043,1.8050267369721116
20010425,-3689.500342178857,0.837250789539072
20010426,-3688.4999354843367,0.7717224145237886
20010427,-3687.5005075991503,0.5612941563244318
20010428,-3686.50070000346,1.65563700762891
20010429,-3685.4993135733675,3.6139689689589396
20010430,-3684.49969229839,4.6424480192615984
20010501,-3683.499205666667,5.310379320222675
20010502,-3682.498863175748,7.300324575556178
20010503,-3681.499900507277,5.116891438609191
20010504,-3680.500148011477,2.1929773159470085
20010505,-3679.500375791433,0.962823567279179
20010506,-3678.5003198640534,-0.20446453553601618
20010507,-3677.500326519781,1.3763586931704244
20010508,-3676.499490221833,2.909931824963352
20010509,-3675.4988916350085,7.011831692167531
20010510,-3674.4990368885665,8.682852694882104
20010511,-3673.498483239995,9.271234723871949
20010512,-3672.497604101278,10.668683023184752
20010513,-3671.497788602139,9.862369365924826
20010514,-3670.4996732515738,5.15523881370598
20010515,-3669.49962270206,4.121555644626419
20010516,-3668.500232933293,4.479699629438646
20010517,-3667.499503387664,3.8936190346432586
20010518,-3666.5002816963224,1.7262878905827623
20010519,-3665.4994998220736,3.7648501881187206
20010520,-3664.498991086588,6.221168627838921
20010521,-3663.4989027736046,5.767446433260233
20010522,-3662.4978957850726,7.702909206336312
20010523,-3661.4978782453436,10.12663914581831
20010524,-3660.4982923084244,10.713962089081456
20010525,-3659.498907662439,8.210714724702811
20010526,-3658.4979851755797,10.00978973499522
20010527,-3657.498115537457,9.663403517092078
20010528,-3656.4980999510026,9.606378851352344
20010529,-3655.4977379416323,11.505287019310309
20010530,-3654.4975000903232,11.144170209674934
20010531,-3653.4976136896057,7.959913799200008
20010601,-3652.499087568369,5.328344167028867
20010602,-3651.500770921124,2.7156704660930657
20010603,-3650.4999043353146,2.835987802643429
20010604,-3649.4983956540163,4.5558566465881
20010605,-3648.4977754199754,8.98195514416501
20010606,-3647.4992892658956,5.761503514980209
20010607,-3646.4991950846943,6.455484842638736
20010608,-3645.4992897724114,5.748263354387115
20010609,-3644.498819159322,5.823398075243413
20010610,-3643.4987379074337,4.664779396240375
20010611,-3642.4996705376016,4.180578278630824
20010612,-3641.498736867219,6.752766224605137
20010613,-3640.498526721558,8.523051503360227
20010614,-3639.4979145906727,8.352874915364968
20010615,-3638.4984328048486,9.826778696208892
20010616,-3637.499068189303,7.783804710497426
20010617,-3636.500316798496,4.741578847407839
20010618,-3635.500754075196,2.555120263252934
20010619,-3634.4989501297077,5.903278445509931
20010620,-3633.497687209003,9.078005921439367
20010621,-3632.4981093750866,9.82476956291709
20010622,-3631.498871186219,8.495158426196225
20010623,-3630.4979472075374,10.27498940479704
20010624,-3629.497139095485,13.791746383175278
20010625,-3628.496265446567,15.745629164640654
20010626,-3627.496491152673,16.380441715030244
20010627,-3626.4977805843537,13.334762536431132
20010628,-3625.4981733627556,9.603481836880384
20010629,-3624.497906165596,10.376265281589239
20010630,-3623.497839129577,11.68177605296737
20010701,-3622.497923424309,10.893444432283198
20010702,-3621.497669080474,10.377329051921906
20010703,-3620.4970022966027,14.119004019066455
20010704,-3619.4977932503843,14.226689245638969
20010705,-3618.4972655649126,14.579519618536272
20010706,-3617.4976190851285,14.074027639220017
20010707,-3616.4987798284146,10.721213714700676
20010708,-3615.499490197648,8.758955998605094
